WebsiteWorks,,,,,,,,,,,,,
Status,Title,InstrumentTags,Instruments,Description,Duration,OrderDate,Year,Video Link,Score Link,Movements,Commission,Playlist,isArrangement
PUBLISHED,Dandelion,[Piano],Piano,"“Dandelion” is a short piano piece inspired by the experience of seeing dandelions blooming outside my apartment while practicing Debussy’s Prelude No. 5 from Book I, “Les collines d’Anacapri.”",2,5/16/25,2025,https://youtu.be/6uzumgs7Akg,,1,,,[Original]
PUBLISHED,Symphonic Suite in Ab Major,[Orchestra],Orchestra,A suite for orchestra depicting a hero's journey through the forest.,12,5/7/25,2025,,,7,,https://www.youtube.com/embed/videoseries?si=HGOIi2w2XJVeoHH9&amp;list=PLIHYGUgW_85v2WWPEBwcgl0gq5q0cXspL,[Original]
PUBLISHED,Coral,[Piano],Piano,A piano piece inspired by the soundtrack from the video game Superliminal.,3,4/6/25,2025,https://youtu.be/dI5LHDqt9XU,,1,,,[Original]
PUBLISHED,Angst,"[Trumpet,Horn,Trombone,Euphonium,Tuba]",Brass Quintet,A short piece for brass quintet or choir that conveys the feeling of uncertainty and anxiety.,1,4/2/25,2025,https://youtu.be/HsrbxXxJJ7o,,1,,,[Original]
PUBLISHED,Aurora,[Orchestra],Orchestra,"""Aurora"" captures the experience of observing the northern lights, creating a vivid musical portrait of its visual and emotional beauty. The work opens with the harp and winds playing a simple, delicate theme, evoking the first hints of color that gradually become more prominent. It then bursts into an energetic section, mirroring the aurora's intensification and dazzling display. The piece closes by returning to the initial theme in a triumphant ending reflecting the rush of awe and wonder of the moment. ",6,12/11/24,2024,https://youtu.be/-xzdthOCYpQ,,1,,,[Original]
PUBLISHED,Canon,"[Trumpet,Horn,Trombone,Euphonium,Tuba]",Brass Quintet,A short piece for brass quintet or choir where all the instruments play the same line at different times and transposition levels.,1,11/29/24,2024,https://youtu.be/N-y0JpeCph8,,1,,,[Original]
PUBLISHED,Chorale,"[Trumpet,Horn,Trombone,Euphonium,Tuba]",Brass Quintet,A short piece for brass quintet or choir in the style of a chorale.,1,11/27/24,2024,https://youtu.be/EPsUtQvXqhU,,1,,,[Original]
PUBLISHED,Declaration,"[Trumpet,Horn,Trombone,Euphonium,Tuba]",Brass Quintet,A short piece for brass quintet or choir that was commissioned as an opening number for the Washtenaw Community Brass Choir.,1,11/26/24,2024,https://youtu.be/l_cM0lEHUH0,,1,,,[Original]
PUBLISHED,Fanfare,"[Trumpet,Horn,Trombone,Euphonium,Tuba]",Brass Quintet,"A short, exhilarating piece for brass quintet or choir.",2,11/26/24,2024,https://youtu.be/r36ikNYyoJc,,1,,,[Original]
PUBLISHED,Jubilation,"[Trumpet,Horn,Trombone,Euphonium,Tuba]",Brass Quintet,"A short, celebratory piece for brass quintet or choir.",1,11/26/24,2024,https://youtu.be/rptaKrCu_i0,,1,,,[Original]
PUBLISHED,Duality,[Piano],Two Pianos,Written by Daniel S. Kim and Daniel Y. Kim.,5,11/1/24,2024,https://youtu.be/QLJfAUVPLwM,,1,,,[Original]
PUBLISHED,A Christmas Sonata,[Orchestra],Orchestra,"“A Christmas Sonata” is a festive piece for orchestra that arose from the question: “what if Mozart was a film composer?” The piece uses Mozart’s Sonata No. 16 mvt. 1 (Sonata Facile) as the theme for a hypothetical Christmas movie (like Home Alone). The first section of the piece loosely follows the original sonata’s exposition. The development strays further, exploring different keys and introducing a tender setting for the tune. Finally, the initial material returns in the recapitulation and accelerates to a dramatic finale. To add to the “Christmas flair”, some snippets of Jingle Bells have been cheekily inserted in the second half of the piece.
**Note: While the title is a play on Corelli’s “Christmas Concerto,” in the interest of inclusivity, “Have a Merry Sonata” can be used as an alternative title. (Or, feel free to come up with one!)",7,9/30/24,2024,,,1,,,[Original]
PUBLISHED,Horizon,[String Orchestra],String Orchestra,"“Horizon” is a short piece composed for my friend’s middle school beginner orchestra (grade 0.5). It aims to use the fundamental concepts beginner orchestra students learn, but in ways that feel engaging and fresh.",2,8/7/24,2024,https://youtu.be/P8J5Ht52vD8,,1,,,[Original]
PUBLISHED,Beryl,[Piano],Piano,"Written during the power outage post-Hurricane Beryl, whose path went right over our house.",2,7/29/24,2024,https://youtu.be/qX_3niuODio,,1,,,[Original]
PUBLISHED,Amber,[Piano],Piano,A piano piece inspired by the soundtrack from the video game Superliminal.,6,7/29/24,2024,https://youtu.be/wa0U-kGO-ek,,1,,,[Original]
PUBLISHED,Boil Them Cabbage Down,[String Orchestra],String Orchestra,An arrangement of the American folk song 'Boil Them Cabbage Down' for string orchestra.,2,5/5/24,2024,https://youtu.be/sD0AOdkCwXM,,1,,,[Arrangement]
PUBLISHED,The Wayfarer (2024 Revision),"[Flute,Clarinet,Bassoon]","Flute, Clarinet, & Bassoon","“The Wayfarer” is a three-movement suite for flute, clarinet, and bassoon that follows a character's journey through different experiences. The original piece was written in 2019 and revised in 2024.",9,3/29/24,2024,https://youtu.be/Yx15mCfj2-A,,3,,,[Original]
PUBLISHED,Mach 1,[Wind Ensemble],Wind Ensemble,"*2024 Washtenaw Community Concert Band Competition Winner*

“Mach 1” is a piece for wind ensemble that evokes the thrill and exhilaration of breaking the sound barrier. The piece centers around a motif constructed from the scale degrees that correspond to the speed of sound: 7-6-7-2-7 (767.27 MPH). The motif is synthesized to convey the sensation of accelerating, cruising, falling, and rising through the air.",4,3/25/24,2024,https://youtu.be/jHAUQe3N5As,,1,,,[Original]
PUBLISHED,Airborne Suite,"[Trumpet,Horn,Trombone,Tuba]","Trumpet (2). Horn (2), Trombone (2), Tuba","Airborne Suite is a piece for brass septet meant to evoke the experience of air travel. The first movement begins with repeated notes, providing a sense of determination and drive. The motif provides the bubbling excitement as we rush through the terminal and prepare for departure. In the second movement, we make our way to cruising altitude. Seat belt signs turn off, and we can relax, look at the clouds below us, and doze off. In the final movement, we are eager to get off and go to our destination. But between landing and disembarking, we anxiously wait for the plane to reach its terminal and the other passengers to grab their belongings.",10,2/17/24,2024,https://youtu.be/UPSITAF2Z2E,,3,,,[Original]
PUBLISHED,Auld Lang Syne,"[Saxophone,Piano,Double Bass]","Alto Saxophone, Piano, Double Bass","Part of the [Wheel of Instruments] series which arranges common tunes for an instrumentation determined by a random instrument generator.
https://www.parakeetpress.com/wheel-of-instruments",2,12/31/23,2023,https://youtu.be/1yQ4BLd8Ckk,,1,,,[Arrangement]
PUBLISHED,IDRS Suite No. 1,"[Oboe,Bassoon]","Oboe (2), Bassoon (2)","*IDRS 2023 Composition Competition for Young Composers Winner*

IDRS Suite No. 1 is written for the International Double Reed Society (IDRS) 2023 Composition Competition for Young Composers. The suite revolves around the motif GDAG – the musical equivalent of IDRS. This suite consists of the first four of many sketches based on the IDRS motif.",8,12/3/23,2023,https://youtu.be/I5Pok4fP0R4,,4,,,[Original]
PUBLISHED,Colored Engines (FAR: Lone Sails),"[Violin,Viola,Cello]",String Quartet,Written for my THEORY 560 class. This is an arrangement of a track from the game FAR: Lone Sails for string quartet.,6,11/3/23,2023,https://youtu.be/eIEzfVWKU-4,,1,,,[Arrangement]
PUBLISHED,Goosey Goosey Gander,"[Clarinet,Trumpet,Trombone,Tuba,Violin,Viola,Bass Clarinet]","Clarinet, Bass Clarinet, Trumpet, Trombone, Tuba, Violin, Viola, Goose","Part of the [Wheel of Instruments] series which arranges common tunes for an instrumentation determined by a random instrument generator.
https://www.parakeetpress.com/wheel-of-instruments",1,10/17/23,2023,https://youtu.be/Bbkr38X_x8Q,,1,,,[Arrangement]
PUBLISHED,Old MacDonald Had a Farm,"[Flute,Horn,Piano]","Flute, Horn, Piano","Part of the [Wheel of Instruments] series which arranges common tunes for an instrumentation determined by a random instrument generator.
https://www.parakeetpress.com/wheel-of-instruments",4,10/16/23,2023,https://youtu.be/ZEQVtN5HQng,,1,,,[Arrangement]
PUBLISHED,The Wheels on the Bus,"[Oboe,Bassoon,Viola,Double Bass,Percussion,Piano,Bass Clarinet]","Oboe, Bass Clarinet, Bassoon, Glockenspiel, Xylophone, Triangle, Celesta, Viola, Double Bass","Part of the [Wheel of Instruments] series which arranges common tunes for an instrumentation determined by a random instrument generator.
https://www.parakeetpress.com/wheel-of-instruments",2,10/15/23,2023,https://youtu.be/2aRZCw15Mpo,,1,,,[Arrangement]
PUBLISHED,Pop! Goes the Weasel,"[Flute,Bass Clarinet]","Piccolo, Bass Clarinet","Part of the [Wheel of Instruments] series which arranges common tunes for an instrumentation determined by a random instrument generator.
https://www.parakeetpress.com/wheel-of-instruments",2,10/14/23,2023,https://youtu.be/l9aIq_jakLc,,1,,,[Arrangement]
PUBLISHED,Mary Had a Little Lamb,"[Violin,Clarinet,Bassoon,Tuba,Piano]","Violin, Clarinet, Bassoon, Tuba, Celesta","Part of the [Wheel of Instruments] series which arranges common tunes for an instrumentation determined by a random instrument generator.
https://www.parakeetpress.com/wheel-of-instruments",2,10/12/23,2023,https://youtu.be/6fCUkSJeYdo,,1,,,[Arrangement]
PUBLISHED,Twinkle Twinkle Little Star,"[Trombone,Percussion,Contrabassoon]","Contrabassoon, Trombone, Bass Drum, Marimba","Part of the [Wheel of Instruments] series which arranges common tunes for an instrumentation determined by a random instrument generator.
https://www.parakeetpress.com/wheel-of-instruments",2,10/11/23,2023,https://youtu.be/pd9_TPA0DKc,,1,,,[Arrangement]
PUBLISHED,Hydrogen,[Media Music],Media Music,"Based on the word ""hydrogen"" using the text to music translator (FCDACACE)",3,10/7/23,2023,https://youtu.be/AYrGxd6bsfM,,,,,
PUBLISHED,Celeste Suite,"[Bassoon,Horn,Clarinet,Flute,Oboe,Violin,Viola,Cello]","Wind Quintet, String Quartet","*2023 Press Start Composer Competition Winner*

“Celeste Suite” is written for the 2023 PRESS START composer competition. Using the provided themes from the soundtrack to the game Celeste, the suite depicts the multiple traits of each character using a mixture of classical and contemporary styles while also referencing some of the original soundtracks.",,8/1/23,2023,,,4,,https://www.youtube.com/embed/videoseries?si=8gcXD0BZJ8V74PYN&amp;list=PLIHYGUgW_85vzAyXyVrk0kN91KN8gQjWY,[Arrangement]
PUBLISHED,Petite Suite No. 2,[String Orchestra],String Orchestra,"Nicknamed “Summer Suite,” this suite consists of a couple, short pieces depicting moments during summertime. The suite starts with a lively scene of children playing. It then moves onto a stormy night on the seas. The third piece portrays the experience of getting lost in one’s thoughts while standing in the summer heat - singing a tune that goes in several different directions. Of course, I couldn’t resist having another pizzicato movement (like the first suite). The fifth is about sitting outside, alone, on the porch, watching the sun fall below the horizon. The final piece is also about the sun, but with a brighter tone.",20,5/27/23,2023,,,6,,,[Original]
PUBLISHED,A Homage to Victor Borge,[Wind Ensemble],Wind Ensemble,"An expansion of a fragment played by Victor Borge in his ""Page-Turner"" act. 

https://youtu.be/LWqFaGwNCMU",3,5/3/23,2023,https://youtu.be/CmY-flfhBSw,,1,,,[Original]
PUBLISHED,Petite Suite,[String Orchestra],String Orchestra,"""Petite Suite"" is a suite for string orchestra, intended for younger players. The suite is built around a motif based on the name of a friend: Kevin (DEABG). Each movement is designed to be easy to play while also being enjoyable and musically interesting. The piece strives to create harmonically intriguing sonorities without resorting to overly complex notation.",12,4/28/23,2023,,,4,,https://www.youtube.com/embed/videoseries?si=8A2CAm-bJbwVt_Oy&amp;list=PLIHYGUgW_85thdaTnzE8vGL7aOz2IfmOr,[Original]
PUBLISHED,Title Screen (The Legend of Zelda: Ocarina of Time),"[Flute,Clarinet,Bassoon,Piano]","Flute, Clarinet, Bassoon, Piano",,3,4/21/23,2023,https://youtu.be/PAMR0Q6EtuQ?t=218,,1,Asian Memory Project,,[Arrangement]
PUBLISHED,Main Theme (The Legend of Zelda),"[Flute,Clarinet,Bassoon,Piano]","Flute, Clarinet, Bassoon, Piano",,4,4/21/23,2023,https://youtu.be/PAMR0Q6EtuQ,,1,Asian Memory Project,,[Arrangement]
PUBLISHED,Mii Plaza (Wii),"[Flute,Clarinet,Bassoon,Piano]","Flute, Clarinet, Bassoon, Piano",,1,4/21/23,2023,https://youtu.be/PAMR0Q6EtuQ?t=863,,1,Asian Memory Project,,[Arrangement]
PUBLISHED,Green Greens (Kirby’s Dream Land),"[Flute,Clarinet,Bassoon,Piano]","Flute, Clarinet, Bassoon, Piano",,2,4/21/23,2023,https://youtu.be/PAMR0Q6EtuQ?t=1552,,1,Asian Memory Project,,[Arrangement]
PUBLISHED,Gusty Garden Galaxy (Super Mario Galaxy),"[Flute,Clarinet,Bassoon,Piano]","Flute, Clarinet, Bassoon, Piano",,5,4/18/23,2023,https://youtu.be/PAMR0Q6EtuQ?t=1683,,1,Asian Memory Project,,[Arrangement]
PUBLISHED,Text to Music Converter Promo,[Media Music],Media Music,"This short piece was written for a promo video for the Text to Music Converter page on this website.

https://www.danielkimcomposer.com/text-to-music",2,3/20/23,2023,https://youtu.be/DU-ZaBiR-Ls,,1,,,[Original]
PUBLISHED,Cascades,"[Clarinet,Violin,Viola,Cello]","Clarinet, String Quartet","The opening gesture of the piece is what gave this piece the name “Cascades”; the downward motions, both in terms of notes and entries, are similar to that of a waterfall. The piece is based on a couple of ideas that revolve around the number five. The five-note motif is based on the first letter of each players’ name. The first three notes of the motif can also be rearranged to create intervals of fourths and fifths and serves as the motif for the middle section. Finally, most of the harmony is built by stacking different combinations of perfect fifths.",8,3/12/23,2023,https://youtu.be/FZX8LkV0j9s,,1,,,[Original]
PUBLISHED,A Song of Celebration [Khunjooyki Yerk],[Chamber Orchestra],Chamber Orchestra,“A Song of Celebration” is an arrangement of an Armenian tune of the same name. The piece celebrates the life and achievements of Edward Avedisian. The final iteration of the tune may be accompanied by singing and repeated as many times as desired.,6,2/24/23,2023,https://youtu.be/JFYeEonUMPk,,1,,,[Arrangement]
PUBLISHED,Minute Piece,"[Flute,Clarinet,Oboe,Bassoon]",Wind Quartet,“Minute Piece” spawned from a little challenge to write a piece that is a minute long in under an hour. This piece was not thought out in advance and was written with the intention of “going with the flow.”,1,1/24/23,2023,https://youtu.be/7RKyxJbYV60,,1,,,[Original]
PUBLISHED,Pathways,[Wind Ensemble],Wind Ensemble,"*2024 Red Note Composer Competition Winner*

“Pathways” is a piece consisting of a theme set in three different ways (essentially, three variations). The piece was inspired by the intervallic and rhythmic qualities of an ostinato from the music for “Greenpath” from the game “Hollow Knight.” “Pathways” starts with “exploration” music - a relatively calm background music for when the character of a game is roaming around. This is followed by a short transition that foreshadows a more active scene, - like encountering an enemy or obstacles in the game. The first two sections are relatively similar, but the final puts the theme in new setting to represent the “boss” music - the final challenge of the game.",9,1/9/23,2023,https://youtu.be/YZEams68QDs,,1,,,[Original]
PUBLISHED,Bubblegum K.K. (Animal Crossing),"[Flute,Clarinet,Bassoon,Piano]","Flute, Clarinet, Bassoon, Piano","Written for the Asian Resource Center, this is an arrangement of a theme by “K.K. Slider” from Animal CrossingTM: New Horizons (Kazumi Totaka). The theme is presented In three ways: first as an interpretation, then in its original form, and finally as a fugato.",7,12/23/22,2022,https://youtu.be/k4rJNzGPcNA,,1,Asian Memory Project,,[Arrangement]
PUBLISHED,New Horizons Variations (Animal Crossing),"[Flute,Clarinet,Bassoon,Piano]","Flute, Clarinet, Bassoon, Piano","Written for the Asian Resource Center, this set of theme and six variations is based on the theme from Animal CrossingTM: New Horizons (Kazumi Totaka). In similar fashion to the game’s original soundtrack, the variations goes through different times of day, starting and ending with the afternoon.",17,12/20/22,2022,https://youtu.be/PAMR0Q6EtuQ?t=400,,7,Asian Memory Project,,[Arrangement]
PUBLISHED,Sail Away!,"[Flute,Clarinet,Bassoon,Horn,Trumpet,Trombone,Tuba,Percussion,Saxophone]",Small Wind Ensemble,"*2022 USNAB Composer Competition Winner*

“Sail Away” is a short, festive piece written for the 2022 US Naval Academy Band Composition Competition.",4,12/11/22,2022,https://youtu.be/OGjiXD7dr14,,1,,,[Original]
PUBLISHED,Galactic Suite,"[Flute,Clarinet,Piano]","Flute, Clarinet, Piano/Synth","Written for the Greater Austin Asian Chamber of Commerce, Galactic Suite is a mix of various styles of music meant to represent space in different ways. These include the styles of Satie and Hisaishi (V & VII), a sonata based on the letters ‘SPACE’ (IV), minimalistic pieces (II & VI) and a piece with synthesizer (I).

*The first movement is written specifically for a synthesizer
(all other movements can be played on an acoustic piano, or the performer may choose to layer their own sounds in)",32,11/5/22,2022,https://youtu.be/gmrUtG6lias,,7,Asian Memory Project,,[Original]
PUBLISHED,Rabbit Rondo,"[Flute,Clarinet,Oboe,Bassoon]",Wind Quartet,"As the name suggests, “Rabbit Rondo” is a piece about...rabbits - particularly how much they hop around - and expressed in three different characters.",6,11/2/22,2022,https://youtu.be/SiZhQociOKQ,https://www.sheetmusicplus.com/title/rabbit-rondo-digital-sheet-music/22486771,1,,,[Original]
PUBLISHED,Hahoetal,"[Violin,Viola,Cello]",String Quartet,"Hahoetal, or Hahoe Masks, is a multi-movement piece based on the masks used in the “Hahoe special ritual drama to the gods” (Hahoe byeolsingut talnori). This piece was inspired by a display of nine of the Hahoe masks (shown on the right) which I picked up at the Butler School of Music. The first nine movements are an interpretation of each character based on my research of their original roles. The final two movements bring all the motives together through a story and recap.",60,10/17/22,2022,,,11,,https://www.youtube.com/embed/videoseries?list=PLIHYGUgW_85uPRqF9g2cgR0zuTdTV9tEH,[Original]
PUBLISHED,Postlude for Three,"[Violin,Viola,Piano]","Violin, Viola, Piano","“Postlude for Three” is a short piece for Sarah, Ella, and Peter. It consists of three motives which are based on each player’s name: eadaa, edde, and befed. These motives happened to work well in the key of E major and are arranged in three different ways.",5,10/13/22,2022,https://youtu.be/FhAaSqhjtzY,,1,,,[Original]
PUBLISHED,liminal,"[Flute,Piano]","Flute, Piano","liminal explores the concept of transitional spaces which can seem comforting on the surface, but can also be unsettling after a prolonged amount of time. the piece takes inspiration from the “untitled goose game” (which uses a selection of pieces from debussy’s les preludes) and “superliminal” (matt christensen).",23,10/2/22,2022,https://youtu.be/f2xA_ql3k4g,,5,,,[Original]
PUBLISHED,Mystery of Love (Call Me by Your Name),"[Violin,Piano,Viola]","Violin, Viola (2), Piano",An expansion on the theme from Mystery of Love.,11,7/21/22,2022,,https://www.sheetmusicplus.com/title/mystery-of-love-digital-sheet-music/22486743,1,,,[Arrangement]
PUBLISHED,Sunset Bird,"[Flute,Cello,Piano]","Flute, Cello, Piano","(Welcome to) Sunset Bird is a reflection on the “Studio Ghibli Tribute” concert series hosted by the Asian Memory Project, of which I was a part. Writing in the style of Joe Hisaishi took me back to the days when I watched anime, notably an anime composer Nomii Yuuji worked on called Nichijou. There is a particular characteristic to the soundtracks for Japanese animations - its quirkiness, familiarity, and comfort. Sunset Bird is my sincere attempt to create music in the spirit of these animations. It uses the same instrumentation as the “Studio Ghibli Tribute” concerts.

The suite represents a slice of life, or “a day in the life of...” kind of story. It is loosely based on the initial premise of the video game “Our Life: Beginnings and Always,” where a child has moved to a new coastal town called Sunset Bird (the origin of this suite’s title) and is attempting to settle in.",40,7/4/22,2022,https://youtu.be/iyqI6_b5RI8,,10,,,[Original]
PUBLISHED,Merry-Go-Round of Life (Howl’s Moving Castle),"[Flute,Cello,Piano]","Flute, Cello, Piano",,4,5/29/22,2022,,https://www.sheetmusicplus.com/title/merry-go-round-of-life-digital-sheet-music/22486772,1,Asian Memory Project,,[Arrangement]
PUBLISHED,Summer (Kikujiro),"[Flute,Cello,Piano]","Flute, Cello, Piano",,3,5/28/22,2022,,https://www.sheetmusicplus.com/title/summer-digital-sheet-music/22486762,1,Asian Memory Project,,[Arrangement]
PUBLISHED,Saxophone Quartet,[Saxophone],Saxophone Quartet,,21,2/23/22,2022,,,4,,https://www.youtube.com/embed/videoseries?si=1-E1V9bKDMQNov13&amp;list=PLIHYGUgW_85sG4ZO1N5fopyGIRS5n0hl7,[Original]
PUBLISHED,Manor Chase,[Chamber Orchestra],Chamber Orchestra,"As you cautiously step into the dimly lit interior of the castle-like abode perched on the cliff, the musty scent of old books and the flickering candlelight make you feel like you've traveled back in time. But your reverie is quickly interrupted by the sound of footsteps and the realization that you're being chased by the mysterious owner of the manor. Whether you're a curious journalist or a thrill-seeking adventurer, the reason for the pursuit remains unknown. As you navigate the labyrinthine halls and dusty artifacts, only one thing matters: don't get caught!

ca. 9 min.",9,1/20/22,2022,https://youtu.be/1fXE871QcJA,,1,,,[Original]
PUBLISHED,Starling,[Orchestra],Orchestra,,10,11/3/21,2021,https://youtu.be/Guid4OyX-dE,,1,,,[Original]
PUBLISHED,Two Pieces for Wind Quintet,"[Flute,Oboe,Clarinet,Bassoon,Horn]",Wind Quintet,"Two Pieces for Wind Quintet is a set of two pieces inspired by Amy Beach's ""Suite for Two Pianos."" ""Confusion"" is a chromatically wandering perpetuum mobile while ""Sarcasm"" is a reaction to the excessive accidentals in the previous piece.",8,8/13/21,2021,https://youtu.be/vqoUajEWpjg,,2,,,[Original]
PUBLISHED,Reprise (Spirited Away),"[Flute,Cello,Piano]","Flute, Cello, Piano",,5,5/22/21,2022,,https://www.sheetmusicplus.com/title/reprise-digital-sheet-music/22486785,1,Asian Memory Project,,[Arrangement]
PUBLISHED,A Dream,"[Piano,Vocal]","Voice, Piano","Written for a theory class project, this piece is based on the poem of the same name by Edgar Allan Poe.",3,4/1/21,2021,,,1,,,[Original]
PUBLISHED,Chameleon,[Wind Ensemble],Wind Ensemble,"Chameleon is a piece born out of spontaneity, featuring a wild, leaping melodic line with ever-changing time signatures. Its chaotic movements brought to mind a kaleidoscope, twisting and turning with an array of colors. Despite its complex structure, the piece maintains a relatively straightforward musical form. Originally, it was called ""zett,"" a nonsensical word that matched the articulation of the first note. This was later changed to ""tipsy,"" which described the uneven dance-like feel of certain parts. Ultimately, the title ""chameleon"" was chosen, capturing the colorful and comical nature of the piece, although the name's ambiguity remains.",5,2/2/21,2021,,,1,,,[Original]
PUBLISHED,Du Printemps,[Vocal],SATB Choir,,3,11/22/20,2020,https://youtu.be/DPs9McN86rU,,1,,,[Original]
PUBLISHED,Greenfield,"[Violin,Viola,Bassoon]","Violin, Viola, Bassoon (2)",“Greenfield” is a short piece written during quarantine during the COVID-19 pandemic. I was looking out my window onto our street - “Copperwood” - when I thought: how about creating a piece about it? So “copper” became “green” and “wood” became “field.”,4,9/3/20,2020,https://youtu.be/ZqamkQSljSU,,1,,,[Original]
PUBLISHED,Contemplations,[Harp],Harp,"A piece for harp, mixed with lots of reverb to achieve a meditative space of contemplation.",4,9/3/20,2020,https://youtu.be/2BRMrQo_yN0,,1,,,[Original]
PUBLISHED,Whirlwind,"[Oboe,Clarinet,Bass Clarinet]","Oboe (2), Clarinet (2), Bass Clarinet (2)","“Whirlwind” is quick, chaotic piece for woodwinds inspired by the style of Nomi Yuuji, composer for the anime “Nichijou.” The frantic nature of the piece portrays a comedic chase or situation.",3,9/2/20,2020,https://youtu.be/nRwHART9g8M,,1,,,[Original]
PUBLISHED,Six,"[Flute,Cello,Percussion]","Flute, Marimba, Cello","Written during quarantine, this piece portrays what happens when players do not social distance and stay six feet (or a musical sixth) apart and eventually catch the ""motif"" from each other.",4,8/30/20,2020,https://youtu.be/YIYAwxsYgX4,,1,,,[Original]
PUBLISHED,On a Clear Day (Kiki’s Delivery Service),"[Flute,Cello,Piano]","Flute, Cello, Piano",,2,3/18/20,2022,,https://www.sheetmusicplus.com/title/kiki-s-delivery-service-on-a-clear-day-digital-sheet-music/22487175,1,Asian Memory Project,,[Arrangement]
PUBLISHED,String Quartet,"[Violin,Viola,Cello]",String Quartet,,15,3/3/20,2020,,,3,,,[Original]
PUBLISHED,Alone,"[Horn,Viola,Cello,Piano,Vocal,Saxophone]","Voice, Soprano Sax, Horn, Viola, Cello, Piano",,5,11/13/19,2019,,,1,,,[Original]
PUBLISHED,"Trio for Flute, Clarinet, & Bassoon","[Flute,Clarinet,Bassoon]","Flute, Clarinet, Bassoon","See ""The Wayfarer (2024 Revision)"" for more info.",9,10/14/19,2019,https://youtu.be/Yx15mCfj2-A,,3,,,[Original]
PUBLISHED,Nocturne No. 2,[Piano],Piano,Solo piano piece.,4,6/6/18,2018,https://youtu.be/wz3iwtZvF40,,1,,,[Original]
PUBLISHED,Nocturne No. 1,[Piano],Piano,Solo piano piece.,5,6/5/18,2018,https://youtu.be/6nbpKwUqzWQ,,1,,,[Original]
PUBLISHED,Echoes,[Media Music],Media Music,,,,2021,,,1,,,[Original]
PUBLISHED,New Morning,[Media Music],Media Music,,,,2020,https://youtu.be/SuX6qLGwQYA,,1,,,[Original]
